"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R89,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R18,R19,R20,R21,R88";"R_0805_2012Metric";22;"4.7k";;;
2;"C6,C2,C4,C8,C11";"C_1210_3225Metric";5;"10uF";;;
3;"REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";5;"MountingHole_3.2mm_M3";;;
4;"SW11";"E-Switch_SPST_LED_RoundCap_TL3240F160x";1;"SW_Push_LED_Blue";;;
5;"R17";"R_0805_2012Metric";1;"330R";;;
6;"D12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";12;"WS2812B";;;
7;"C41,C1,C3,C5,C7,C9,C10,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C14,C15,C18,C19,C20,C25,C26,C27,C28,C45,C46,C47,C52,C53,C54,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75";"C_0805_2012Metric";52;"100nF";;;
8;"U14,U9,U10,U11,U12,U13,U15,U16,U17";"Display_OLED_128x32_I2C";9;"Display_OLED_128x32_I2C";;;
9;"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9";"RotaryEncoder_Bourns_PEC12R-4x20k-Sxxxx-Switch_Vertical_H20mm";9;"Rotary_Encoder_Switch";;;
10;"U7";"Teensy30_31_32_LC";1;"Teensy3.2";;;
11;"SW10";"E-Switch_SPST_Red_LED_RoundCap_TL3240F160R";1;"SW_Push_LED_Red";;;
12;"SW12";"E-Switch_SPST_Red_LED_SquareCap_TL3240F160R";1;"SW_Push_LED_Red";;;
13;"SW13";"E-Switch_SPST_LED_SquareCap_TL3240F160x";1;"SW_Push_LED_Yellow";;;
14;"SW14";"E-Switch_SPST_LED_SquareCap_TL3240F160x";1;"SW_Push_LED_Green";;;
15;"SW15";"E-Switch_SPST_LED_SquareCap_TL3240F160x";1;"SW_Push_LED_Blue";;;
16;"C12,C13,C16,C17,C21,C22,C23,C24,C29,C42,C43,C44,C48,C49,C50,C51,C55,C56";"C_0805_2012Metric";18;"10nF";;;
17;"R22,R23,R27,R29,R24,R25,R28,R30,R32,R33,R34,R35,R36,R37,R39,R40,R42,R43,R44,R45,R46,R47,R49,R50,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87";"R_0805_2012Metric";60;"10k";;;
18;"R26,R38";"R_0805_2012Metric";2;"150";;;
19;"R31,R51";"R_0805_2012Metric";2;"33";;;
20;"R41,R48";"R_0805_2012Metric";2;"120";;;
21;"U1,U2,U3";"SOIC-28W_7.5x17.9mm_P1.27mm";3;"MCP23S17_SO";;;
22;"U4,U6";"TSSOP-24_4.4x7.8mm_P0.65mm";2;"TCA9548APWR";;;
23;"U8,U24,U25,U26";"SOIC-8_3.9x4.9mm_P1.27mm";4;"CAT24M01W";;;
24;"U5";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"74HCT245";;;
25;"U18,U19,U20,U21,U22,U23";"SOIC-14_3.9x8.7mm_P1.27mm";6;"74LVC14";;;
